,name,calories,carbohydrate,total_fat,protein,cluster,name_encoded
0,Best-Lemonade,311.1,81.5,0.2,0.3,0,108
1,Black-Bean--Corn--and-Tomato-Salad,407.8,55.8,15.4,17.1,0,66
2,Cheesy-Scalloped-Potato-Side-Dish,332.0,46.0,10.5,14.2,0,119
3,Caribbean-Cowpeas-and-Rice,267.2,58.5,1.9,7.5,0,509
4,Campfire-Orange-Cake,332.5,59.2,9.6,3.6,0,1492
5,Cola-Fruit-and-Date-Loaf,267.0,51.4,6.2,3.6,0,1028
6,Claudi-Sanders--Refrigerator-Rolls,329.0,51.3,10.6,6.9,0,2092
7,Chinese-Hot-and-Sour-Chicken-Noodle-Salad,340.7,45.0,12.7,15.9,0,214
8,Chinese-Hot-and-Sour-Pork-Soup,368.7,32.1,13.0,31.6,0,214
9,Chicken-Fried-Brown-Rice,355.9,46.2,9.8,20.3,0,7
10,Trifle,253.8,48.9,3.9,6.2,0,326
11,Feijoada--Brazilian-Bean-Soup-,286.9,43.2,5.8,16.6,0,2094
12,Crisp-Sauteed-Cucumbers-With-Lemon,299.6,53.2,6.5,7.4,0,177
13,Oktoberfest-Spinach-Strudel,233.2,38.9,4.2,11.1,0,2095
14,Fruit-Filled-Acorn-Squash,242.4,57.9,2.6,3.9,0,32
15,Linda-s-Tuna-Burritos,471.6,59.4,18.2,16.5,0,725
16,Summer-Corn-and-Tomato-Pasta,324.6,52.1,9.4,11.7,0,137
17,Lentil-Dal,376.4,72.0,3.4,14.3,0,105
18,Amazing-Nasi-Goreng,430.5,60.2,16.4,10.4,0,726
19,Quick-Spanish-Couscous-Salad,442.6,91.3,0.8,15.2,0,84
20,Corn-and-Potato-Chowder,314.2,50.1,10.7,10.2,0,35
21,Garam-Masala,410.1,64.5,24.8,14.2,0,1495
22,Fruit-and-Tuna-Salad,267.3,33.9,5.0,23.7,0,32
23,Curried-Spinach-Sauce,345.4,43.2,17.7,14.7,0,155
24,Drunken-Chicken-Marinade,222.0,42.4,4.9,15.4,0,1029
25,Crisp-Lemon-Chicken,236.4,20.8,6.5,23.2,0,177
26,Creamed-Tuna,292.2,12.4,15.1,25.8,0,341
